geoid,zone,epsg
14000US06095252913,10S,32610
14000US06055200706,10S,32610
14000US06095253108,10S,32610
14000US06067009638,10S,32610
14000US06095252914,10S,32610
14000US06055200601,10S,32610
14000US06055200602,10S,32610
14000US06095252910,10S,32610
14000US06095253106,10S,32610
14000US06095252908,10S,32610
14000US06095253107,10S,32610
14000US06095252909,10S,32610
14000US06095253101,10S,32610
14000US06095253105,10S,32610
14000US06095252912,10S,32610
14000US06095253203,10S,32610
14000US06095253201,10S,32610
14000US06095252911,10S,32610
14000US06095253205,10S,32610
14000US06055201200,10S,32610
14000US06095253204,10S,32610
14000US06067009630,10S,32610
14000US06055201401,10S,32610
14000US06067009637,10S,32610
14000US06067009635,10S,32610
14000US06095253206,10S,32610
14000US06067009309,10S,32610
14000US06095252904,10S,32610
14000US06067009636,10S,32610
14000US06067009632,10S,32610
14000US06067009622,10S,32610
14000US06095253300,10S,32610
14000US06055201403,10S,32610
14000US06067009617,10S,32610
14000US06067009616,10S,32610
14000US06077003109,10S,32610
14000US06077003407,10S,32610
14000US06077003108,10S,32610
